title,author,release_date,last_updated,language,ebook,character_set_encoding,chapter_count,section_count,lines_count,number_of_words,publish_year
"Beacon Lights of History, Volume XII",John Lord,"January 8, 2004","January 8, 2004",English,10647,US-ASCII,0,4,7818,77082,2004
"Beacon Lights of History, Volume XIII",John Lord,"January 8, 2004","January 8, 2004",English,10648,US-ASCII,0,4,10517,104980,2004
"Beacon Lights of History, Volume XIV",John Lord,"January 9, 2004","January 9, 2004",English,10649,US-ASCII,0,4,11102,108887,2004
Audio: When the Saints Go Marching In,Roger McGuinn,"January 8, 2004","January 8, 2004",English,10650,US-ASCII,0,4,522,3767,2004
Audio: Shenandoah,Roger McGuinn,"January 8, 2004","January 8, 2004",English,10651,US-ASCII,0,4,497,3604,2004
Audio: Spanish is the Loving Tongue,Roger McGuinn,"January 8, 2004","January 8, 2004",English,10652,US-ASCII,0,4,503,3642,2004
Audio: The Squid-Jigging Ground,Roger McGuinn,"January 8, 2004","January 8, 2004",English,10653,US-ASCII,0,4,515,3799,2004
Audio: The St. James Infirmary Blues,Roger McGuinn,"January 8, 2004","January 8, 2004",English,10654,US-ASCII,0,4,487,3571,2004
Autobiography of Sir George Biddell Airy,George Biddell Airy,"January 9, 2004","January 9, 2004",English,10655,ASCII,20,4,16170,140070,2004
"A Collection of Old English Plays, Vol. II",Various,"January 9, 2004","January 9, 2004",English,10656,ASCII,0,4,18458,107574,2004
"""De Bello Gallico"" and Other Commentaries",Caius Julius Caesar,"January 9, 2004","January 23, 2006",English,10657,ASCII,0,4,15780,163130,2004
Hilda Lessways,Arnold Bennett,"January 9, 2004","January 9, 2004",English,10658,ASCII,36,4,12985,109653,2004
Three More John Silence Stories,Algernon Blackwood,"January 9, 2004","January 9, 2004",English,10659,ASCII,0,4,5560,51135,2004
Lives of the English Poets,Henry Francis Cary,"January 9, 2004","January 9, 2004",English,10660,ASCII,0,4,10530,101254,2004
A Selection from the Discourses of Epictetus With the Encheiridion,Epictetus,"January 9, 2004","January 9, 2004",English,10661,ASCII,0,4,5798,65630,2004
The Night Land,William Hope Hodgson,"January 9, 2004","January 9, 2004",English,10662,ASCII,0,4,17836,200345,2004
"Punch, or the London Charivari, Vol. 153, Sept. 26, 1917",Various,"January 9, 2004","January 9, 2004",English,10663,US-ASCII,0,4,2188,14923,2004
"Life, Letters, and Epicurean Philosophy of Ninon de L'Enclos,","Robinson [and] Overton, ed. and translation.","January 10, 2004","January 10, 2004",English,10665,ASCII,32,4,9883,90885,2004
The Public vs. M. Gustave Flaubert,Various,"January 10, 2004","January 10, 2004",English,10666,ASCII,0,4,3819,36620,2004
The War and Democracy,Anonmous,"January 10, 2004","January 10, 2004",English,10668,ASCII,18,4,12227,122418,2004
At Last,Charles Kingsley,"January 10, 2004","January 10, 2004",English,10669,US-ASCII,17,4,15453,155672,2004
With Zola in England,Ernest Alfred Vizetelly,"January 10, 2004","January 10, 2004",English,10670,ASCII,0,4,4800,47008,2004
The Botanic Garden. Part II.,Erasmus Darwin,"January 11, 2004","January 11, 2004",English,10671,ASCII,0,4,6915,56413,2004
"The Principal Navigations, Voyages, Traffiques,",Richard Hakluyt,"January 11, 2004","January 11, 2004",English,10673,ASCII,0,4,13012,142885,2004
How to Use Your Mind,Harry D. Kitson,"January 11, 2004","January 11, 2004",English,10674,ASCII,16,4,4752,42578,2004
Pebbles on the Shore,Alpha of the Plough (Alfred George Gardiner),"January 11, 2004","January 11, 2004",English,10675,ASCII,0,4,6132,63979,2004
The Reign of Greed,Jose Rizal,"October 10, 2005","October 10, 2005",English,10676,ASCII,39,4,13850,118195,2005
Biographical Memorials of James Oglethorpe,Thaddeus Mason Harris,"January 11, 2004","January 11, 2004",English,10677,US-ASCII,34,4,11104,99505,2004
The Story of the Other Wise Man,Henry van Dyke,"January 11, 2004","January 11, 2004",English,10679,US-ASCII,0,4,1410,12201,2004
A History of Freedom of Thought,John Bagnell Bury,"January 11, 2004","January 11, 2004",English,10684,ASCII,8,4,6126,57192,2004
The Campfire Girls at Camp Keewaydin,Hildegard G. Frey,"January 11, 2004","January 11, 2004",English,10688,US-ASCII,16,4,6560,57600,2004
A Desperate Chance,Old Sleuth (Harlan P. Halsey),"January 12, 2004","January 12, 2004",English,10690,ASCII,10,4,3533,22284,2004
Select Speeches of Kossuth,Kossuth,"January 12, 2004","January 12, 2004",English,10691,ASCII,0,4,15603,156855,2004
A Life of Gen. Robert E. Lee,John Esten Cooke,"January 12, 2004","January 12, 2004",English,10692,ASCII,0,4,18785,175983,2004
"A Political Diary 1828-1830, Volume II",Edward Law (Lord Ellenborough),"January 12, 2004","January 12, 2004",English,10693,ASCII,0,4,13561,115713,2004
Sea-Power and Other Studies,Admiral Sir Cyprian Bridge,"January 12, 2004","January 12, 2004",English,10694,ASCII,0,4,8708,82151,2004
"Atlantic Monthly, Volume 3, Issue 15, January, 1859",Various,"January 12, 2004","July 17, 2005",English,10695,US-ASCII,8,4,9961,95602,2004
The Danger Trail,James Oliver Curwood,"January 12, 2004","January 12, 2004",English,10696,US-ASCII,34,4,6073,55032,2004
The Aeroplane Boys on the Wing,John Luther Langworthy,"January 13, 2004","January 13, 2004",English,10698,ASCII,24,4,5951,49609,2004
Character Writings of the 17th Century,Various,"January 13, 2004","January 13, 2004",English,10699,ASCII,0,4,16338,169111,2004
The History of England from the First Invasion by the Romans,John Lingard and Hilaire Belloc,"January 13, 2004","January 13, 2004",English,10700,ASCII,16,4,22396,216322,2004
"The History of Rome, Book III",Theodor Mommsen,"May 4, 2004","May 4, 2004",English,10703,US-ASCII,1,4,20481,204857,2004
A Christmas Mystery,William J. Locke,"January 13, 2004","January 13, 2004",English,10707,ASCII,0,4,1130,8332,2004
Miscellaneous Essays,Thomas de Quincey,"January 13, 2004","January 13, 2004",English,10708,ASCII,0,4,6545,72118,2004
Prince Zaleski,M.P. Shiel,"January 13, 2004","January 13, 2004",English,10709,ASCII,0,4,3453,35745,2004
Problems of Poverty,John A. Hobson,"January 13, 2004","January 13, 2004",English,10710,US-ASCII,0,4,7120,70764,2004
"Punch, or the London Charivari, Vol. 153, Oct. 3, 1917",Various,"January 13, 2004","January 13, 2004",English,10711,US-ASCII,0,4,2269,15338,2004
The Art of Literature,Arthur Schopenhauer,"January 14, 2004","January 14, 2004",English,10714,ASCII,0,4,4070,40731,2004
Counsels and Maxims,Arthur Schopenhauer,"January 14, 2004","January 14, 2004",English,10715,ASCII,6,4,4901,48768,2004
The Epic,Lascelles Abercrombie,"January 14, 2004","January 14, 2004",English,10716,ASCII,0,4,2498,25316,2004
The Extant Odes of Pindar,Pindar,"January 14, 2004","January 14, 2004",English,10717,ASCII,0,4,6752,55436,2004
The House of Whispers,William Le Queux,"January 14, 2004","January 14, 2004",English,10718,US-ASCII,78,4,10576,86353,2004
"The Mirror of Literature, Amusement, and Instruction, Vol. 12,",Various,"January 14, 2004","January 14, 2004",English,10719,US-ASCII,0,4,2029,16467,2004
"Punch, or the London Charivari, Vol. 153, Oct. 10, 1917",Various,"August 8, 2005","August 8, 2005",English,10721,ASCII,0,4,2088,14190,2005
Plays,Alexander Ostrovsky,"January 15, 2004","January 15, 2004",English,10722,ASCII,0,4,11874,78301,2004
Betty's Bright Idea; Deacon Pitkin's Farm; and The First Christmas,Harriet Beecher Stowe,"January 15, 2004","January 15, 2004",English,10723,US-ASCII,10,4,3544,30988,2004
The Store Boy,"Horatio Alger, Jr.","January 15, 2004","January 15, 2004",English,10724,US-ASCII,38,4,7766,48566,2004
The Centralia Conspiracy,Ralph Chaplin,"January 16, 2004","January 16, 2004",English,10725,US-ASCII,0,4,4608,40393,2004
"Outlines of Lessons in Botany, Part I; From Seed to Leaf",Jane H. Newell,"January 16, 2004","January 16, 2004",English,10726,US-ASCII,0,4,3582,30365,2004
A Set of Rogues,Frank Barrett,"January 16, 2004","January 16, 2004",English,10727,US-ASCII,41,4,10782,103140,2004
"Christie, the King's Servant",Mrs. O. F. Walton,"January 16, 2004","January 16, 2004",English,10728,US-ASCII,1,4,3970,35555,2004
Jack's Ward,"Horatio Alger, Jr.","January 16, 2004","January 16, 2004",English,10729,US-ASCII,36,4,7835,50333,2004
"The Mirror of Literature, Amusement, and Instruction, Vol. 12,",Various,"January 17, 2004","January 17, 2004",English,10730,US-ASCII,0,4,2121,16678,2004
The Essays of Arthur Schopenhauer; The Art of Controversy,Arthur Schopenhauer,"January 17, 2004","January 17, 2004",English,10731,US-ASCII,0,4,3603,33417,2004
The Essays of Arthur Schopenhauer; Studies in Pessimism,Arthur Schopenhauer,"January 17, 2004","January 17, 2004",English,10732,US-ASCII,0,4,3519,33834,2004
Studies in Civics,James T. McCleary,"January 17, 2004","January 17, 2004",English,10733,US-ASCII,38,4,15667,121837,2004
"A Collection of Old English Plays, Vol. III",Various,"January 17, 2004","January 17, 2004",English,10734,ASCII,0,4,14782,87765,2004
Christmas Eve on Lonesome and Other Stories,"John Fox, Jr.","January 17, 2004","January 17, 2004",English,10735,US-ASCII,0,4,2647,22728,2004
Children of the Frost,Jack London,"January 17, 2004","January 17, 2004",English,10736,US-ASCII,0,4,6005,53571,2004
Book about Animals,Rufus Merrill,"January 18, 2004","January 18, 2004",English,10737,ASCII,0,4,551,4096,2004
Mahomet,Gladys M. Draycott,"January 18, 2004","January 18, 2004",English,10738,ASCII,22,4,7619,74459,2004
The Essays Of Arthur Schopenhauer,Arthur Schopenhauer,"January 18, 2004","January 18, 2004",English,10739,ASCII,0,4,3587,35509,2004
The Way of Peace,James Allen,"January 18, 2004","January 18, 2004",English,10740,ASCII,0,4,2259,20454,2004
The Essays Of Arthur Schopenhauer: The Wisdom of Life,Arthur Schopenhauer,"January 18, 2004","January 18, 2004",English,10741,ASCII,5,4,4134,41433,2004
The Picture Alphabet,Oliver Spafford,"January 18, 2004","January 18, 2004",English,10742,US-ASCII,0,4,515,3436,2004
Moonfleet,J. Meade Falkner,"January 18, 2004","January 18, 2004",English,10743,ASCII,19,4,7729,86607,2004
"Men, Women, and Ghosts",Elizabeth Stuart Phelps,"January 18, 2004","April 24, 2005",English,10744,ASCII,0,4,9495,85266,2004
The Story of the Champions of the Round Table,Howard Pyle,"January 18, 2004","January 18, 2004",English,10745,US-ASCII,0,4,12331,129009,2004
Chantecler,Edmond Rostand,"January 19, 2004","January 19, 2004",English,10747,ASCII,0,4,9721,41397,2004
"The World's Greatest Books, Vol III","Arthur Mee and J.A. Hammerton, Eds.","January 19, 2004","January 19, 2004",English,10748,ASCII,0,4,13594,110257,2004
The Circus Procession,Unknown,"January 21, 2004","January 21, 2004",English,10749,US-ASCII,0,4,580,3858,2004
The Miracle and Other Poems,Virna Sheard,"January 19, 2004","January 19, 2004",English,10750,US-ASCII,0,4,2855,16107,2004
"Oregon, Washington and Alaska; Sights and Scenes for the Tourist",E. L. Lomax,"January 19, 2004","January 19, 2004",English,10751,US-ASCII,0,4,2715,24105,2004
Open Source Democracy,Douglas Rushkoff,"January 20, 2004","January 20, 2004",English,10753,US-ASCII,0,4,2438,20728,2004
Little Sarah,Unknown,"January 20, 2004","January 20, 2004",English,10754,US-ASCII,0,4,522,3707,2004
The Broken Road ,A. E. W. Mason,"January 20, 2004","January 20, 2004",English,10755,US-ASCII,37,4,11495,100867,2004
Between Whiles,Helen Hunt Jackson,"January 20, 2004","January 20, 2004",English,10756,US-ASCII,0,4,6364,60583,2004
Audio: Pretty Saro,Roger McGuinn,"January 20, 2004","January 20, 2004",English,10757,US-ASCII,0,4,468,3514,2004
Audio: Star-Spangled Banner,Roger McGuinn,"January 20, 2004","January 20, 2004",English,10758,US-ASCII,0,4,492,3679,2004
Audio: Tarrytown,Roger McGuinn,"January 20, 2004","January 20, 2004",English,10759,US-ASCII,0,4,491,3607,2004
A Florida Sketch-Book,Bradford Torrey,"January 21, 2004","January 21, 2004",English,10760,ASCII,0,4,4947,50554,2004
Essays of Robert Louis Stevenson,Robert Louis Stevenson,"January 21, 2004","January 21, 2004",English,10761,ASCII,0,4,5875,57324,2004
Impressions of Theophrastus Such,George Eliot,"January 26, 2007","January 26, 2007",English,10762,UTF-8,0,4,5879,61201,2007
It Can Be Done,Joseph Morris,"January 21, 2004","January 21, 2004",English,10763,ASCII,0,4,12036,66021,2004
Thrilling Adventures by Land and Sea,James O. Brayman,"January 21, 2004","January 21, 2004",English,10765,ASCII,0,4,9896,102022,2004
Courage,J. M. Barrie,"January 21, 2004","January 21, 2004",English,10767,ASCII,0,4,1172,10863,2004
A Wanderer in Florence,E. V. Lucas,"January 21, 2004","January 21, 2004",English,10769,ASCII,25,4,11621,115919,2004
The Former Philippines thru Foreign Eyes,Tomas de Comyn,"April 14, 2011","April 14, 2011",English,10770,ASCII,27,4,22350,224139,2011
Philippine Folklore Stories,John Maurice Miller,"January 21, 2004","January 21, 2004",English,10771,ASCII,0,4,1889,14925,2004
Inca Land,Hiram Bingham,"January 21, 2004","January 21, 2004",English,10772,ASCII,18,4,10036,97417,2004
Ancient and Modern Physics,Thomas E. Willson,"January 21, 2004","January 21, 2004",English,10773,ASCII,0,4,2910,25514,2004
The Moving Picture Boys at Panama,Victor Appleton,"January 22, 2004","January 22, 2004",English,10776,ASCII,26,4,6343,46361,2004
Probable Sons,Amy LeFeuvre,"January 22, 2004","January 22, 2004",English,10777,ASCII,18,4,2936,24818,2004
The Prose Marmion,Sara D. Jenkins,"January 22, 2004","January 22, 2004",English,10778,ASCII,7,4,2474,19280,2004
Happy Little Edward,Unknown,"January 22, 2004","January 22, 2004",English,10779,ASCII,0,4,697,5229,2004
Only an Incident,Grace Denio Litchfield,"January 22, 2004","January 22, 2004",English,10780,ASCII,16,4,5098,44250,2004
Deserted,W.W. Jacobs,"January 22, 2004","January 22, 2004",English,10781,ASCII,0,4,869,7324,2004
Homeward Bound,W.W. Jacobs,"January 22, 2004","January 22, 2004",English,10782,ASCII,0,4,1021,7237,2004
Self-Help,W.W. Jacobs,"January 22, 2004","January 22, 2004",English,10783,ASCII,0,4,896,7136,2004
Sentence Deferred,W.W. Jacobs,"January 22, 2004","January 22, 2004",English,10784,ASCII,0,4,994,7189,2004
Matrimonial Openings,W.W. Jacobs,"January 22, 2004","January 22, 2004",English,10785,ASCII,0,4,932,6880,2004
Odd Man Out,W.W. Jacobs,"January 22, 2004","January 22, 2004",English,10786,ASCII,0,4,943,7237,2004
The Toll-House,W.W. Jacobs,"January 22, 2004","January 22, 2004",English,10787,ASCII,0,4,910,6779,2004
Peter's Pence,W.W. Jacobs,"January 22, 2004","January 22, 2004",English,10788,ASCII,0,4,980,7579,2004
The Head of The Family,W.W. Jacobs,"January 22, 2004","January 22, 2004",English,10789,ASCII,0,4,991,7349,2004
Prize Money,W.W. Jacobs,"January 22, 2004","January 22, 2004",English,10790,ASCII,0,4,932,7382,2004
Double Dealing,W.W. Jacobs,"January 22, 2004","January 22, 2004",English,10791,ASCII,0,4,905,6681,2004
Keeping Up Appearances,W.W. Jacobs,"January 22, 2004","January 22, 2004",English,10792,ASCII,0,4,873,6945,2004
Dahcotah,Mary Eastman,"January 22, 2004","January 22, 2004",English,10794,ASCII,41,4,8577,80389,2004
Yorkshire--Coast & Moorland Scenes,Gordon Home,"January 22, 2004","January 22, 2004",English,10795,ASCII,18,4,2892,28675,2004
The Story of the Two Bulls,John R. Bolles,"January 22, 2004","January 22, 2004",English,10796,ASCII,0,4,787,4798,2004
The Wits and Beaux of Society,Grace & Philip Wharton,"January 22, 2004","January 22, 2004",English,10797,ASCII,0,4,9552,97239,2004
Paths of Glory,Irvin S. Cobb,"January 22, 2004","January 22, 2004",English,10798,ASCII,1,4,9699,98911,2004
"Clarissa, Volume 5 (of 9)",Samuel Richardson,"January 23, 2004","January 23, 2004",English,10799,ASCII,0,4,12628,108596,2004
The Anatomy of Melancholy,Democritus Junior,"January 13, 2004","January 13, 2004",English,10800,ASCII,0,4,63249,548291,2004
"Coleridge's Literary Remains, Volume 4.",Samuel Taylor Coleridge,"January 23, 2004","January 23, 2004",English,10801,ASCII,0,4,13627,113475,2004
"A General History and Collection of Voyages and Travels, Vol. II",Robert Kerr,"January 23, 2004","January 23, 2004",English,10803,ASCII,6,4,20663,226054,2004
The Fortunate Foundlings,Eliza Fowler Haywood,"January 23, 2004","January 23, 2004",English,10804,ASCII,0,4,10418,105024,2004
Count The Cost,Jonathan Steadfast,"January 23, 2004","January 23, 2004",English,10805,ASCII,0,4,1553,14276,2004
The Sword of Welleran and Other Stories,Lord Dunsany,"January 23, 2004","January 23, 2004",English,10806,ASCII,0,4,3835,36725,2004
The Constitutional History of England From 1760 to 1860,Charles Duke Yonge,"January 23, 2004","January 23, 2004",English,10807,ASCII,26,4,17091,180446,2004
Consumers' Cooperative Societies in New York State,The Consumers' League of New York,"January 23, 2004","January 23, 2004",English,10808,ASCII,0,4,1298,10303,2004
"Why We Are At War (2nd Edition, revised)",Members of the Oxford Faculty of Modern History,"January 23, 2004","January 23, 2004",English,10809,US-ASCII,12,4,9490,75170,2004
The Young Trail Hunters,Samuel Woodworth Cozzens,"January 23, 2004","January 23, 2004",English,10810,US-ASCII,32,4,6532,56338,2004
De La Salle Fifth Reader,Brothers of the Christian Schools,"January 23, 2004","January 23, 2004",English,10811,ASCII,0,4,10188,57708,2004
The Worshipper of the Image,Richard Le Gallienne,"January 23, 2004","January 23, 2004",English,10812,ASCII,24,4,2890,21835,2004
A Versailles Christmas-Tide,Mary Stuart Boyd,"January 23, 2004","December 22, 2004",English,10813,ASCII,9,4,2747,23024,2004
"Legends, Tales and Poems",Gustavo Adolfo Becquer,"January 24, 2004","January 24, 2004",English,10814,ASCII,0,4,20049,109557,2004
Messages and Papers of the Presidents: Harrison,James D. Richardson,"January 24, 2004","January 24, 2004",English,10815,ASCII,0,4,2136,17431,2004
The Giant Hands,Alfred Crowquill,"January 24, 2004","January 24, 2004",English,10816,ASCII,0,4,1006,7476,2004
Anne Severn and the Fieldings,May Sinclair,"January 29, 2004","January 29, 2004",English,10817,ASCII,1,4,11934,82004,2004
Sport and Work on the Nepaul Frontier,James Inglis,"January 24, 2004","January 24, 2004",English,10818,ASCII,52,4,10831,111336,2004
The Book-Bills of Narcissus,"Le Gallienne, Richard","January 25, 2004","January 25, 2004",English,10826,ASCII,13,4,3421,33351,2004
"Roman History, Books I-III",Titus Livius,"January 25, 2004","January 25, 2004",English,10828,ASCII,0,4,10542,112854,2004
Cinderella,Henry W. Hewet,"January 25, 2004","January 25, 2004",English,10830,ASCII,0,4,895,7356,2004
The Village in the Mountains; Conversion of Peter Bayssiere; and History of a Bible,Anonymous,"January 25, 2004","January 25, 2004",English,10831,ASCII,0,4,2724,26665,2004
"Carnacki, The Ghost Finder",William Hope Hodgson,"January 25, 2004","January 25, 2004",English,10832,ASCII,0,4,5538,56864,2004
"The Essays of Arthur Schopenhauer; Religion, A Dialogue, Etc.",Arthur Schopenhauer,"January 25, 2004","January 25, 2004",English,10833,US-ASCII,0,4,3209,32723,2004
The History of Insects,Unknown,"January 25, 2004","January 25, 2004",English,10834,US-ASCII,0,4,859,5747,2004
"Dr. Johnson's Works: Life, Poems, and Tales, Volume 1",Samuel Johnson,"January 25, 2004","January 25, 2004",English,10835,ASCII,0,4,18570,147450,2004
The Soul of Democracy,Edward Howard Griggs,"January 26, 2004","January 26, 2004",English,10837,ASCII,0,4,3242,30064,2004
"The Mirror of Literature, Amusement, and Instruction, Vol. 13,",Various,"January 26, 2004","January 26, 2004",English,10838,US-ASCII,0,4,2119,15995,2004
Sugar and Spice,James Johnson,"January 26, 2004","January 26, 2004",English,10839,US-ASCII,0,4,955,6474,2004
The Explorers of Australia and their Life-work,Ernest Favenc,"January 26, 2004","January 26, 2004",English,10840,ASCII,40,4,10442,95782,2004
The Life of Captain James Cook,Arthur Kitson,"January 27, 2004","January 27, 2004",English,10842,ASCII,38,4,9762,98001,2004
The Mental Life of Monkeys and Apes,Robert M. Yerkes,"January 27, 2004","January 27, 2004",English,10843,ASCII,0,4,6330,70753,2004
A Gentleman from Mississippi,Thomas A. Wise,"January 28, 2004","January 28, 2004",English,10844,ASCII,28,4,6511,46987,2004
"The Mirror of Literature, Amusement, and Instruction, Vol. 12,",Various,"January 28, 2004","January 28, 2004",English,10845,US-ASCII,0,4,2051,16144,2004
Seekers after God,Frederic William Farrar,"January 28, 2004","January 28, 2004",English,10846,US-ASCII,24,4,8781,89137,2004
The Maids Tragedy,Francis Beaumont and John Fletcher,"January 28, 2004","January 28, 2004",English,10847,ASCII,0,4,5706,32202,2004
Natalie,Ferna Vale,"January 28, 2004","January 28, 2004",English,10848,ASCII,12,4,6762,68053,2004
Saved at Sea,Mrs. O.F. Walton,"January 28, 2004","January 28, 2004",English,10849,ASCII,13,4,2292,18035,2004
Philaster,Francis Beaumont and John Fletcher,"January 28, 2004","January 28, 2004",English,10850,ASCII,0,4,6128,40053,2004
The Works of Charles and Mary Lamb (Vol. 6),Charles and Mary Lamb,"January 28, 2004","January 28, 2004",English,10851,ASCII,0,4,25473,171737,2004
Hardy Ornamental Flowering Trees and Shrubs,A. D. Webster,"January 28, 2004","January 28, 2004",English,10852,ASCII,0,4,8951,56431,2004
Our Gift,"Teachers of the School Street Universalist Sunday School, Boston","January 28, 2004","January 28, 2004",English,10853,ASCII,0,4,3362,26340,2004
"Atlantic Monthly, Vol. VI.,October, 1860.--No. XXXVI.",Various,"January 28, 2004","January 28, 2004",English,10854,ASCII,2,4,9241,89117,2004
Is Mars Habitable?,Alfred Russel Wallace,"January 28, 2004","January 28, 2004",English,10855,ASCII,16,4,3080,28786,2004
A Narrative Of The Siege Of Delhi,Charles John Griffiths,"January 28, 2004","July 5, 2006",English,10856,ASCII,12,4,6252,57798,2004
My Native Land,James Cox,"January 28, 2004","January 28, 2004",English,10857,ASCII,42,4,10435,105618,2004
"A Compilation of the Messages and Papers of the Presidents,",Edited by James D. Richardson,"January 28, 2004","January 28, 2004",English,10858,ASCII,0,4,12025,110183,2004
Paul and Virginia,Bernadin de Saint-Pierre,"January 28, 2004","January 28, 2004",English,10859,ASCII,0,4,3533,37779,2004
The Gracchi Marius and Sulla,A.H. Beesley,"January 29, 2004","January 29, 2004",English,10860,ASCII,30,4,6991,70732,2004
Paris under the Commune,John Leighton,"January 29, 2004","January 29, 2004",English,10861,ASCII,1,4,15277,134774,2004
The White Waterfall,James Francis Dwyer,"January 29, 2004","January 29, 2004",English,10862,ASCII,25,4,7420,65568,2004
A Visit to the Monastery of La Trappe in 1817,W.D. Fellowes,"January 29, 2004","January 29, 2004",English,10864,ASCII,1,4,3901,34827,2004
Play-Making,William Archer,"January 29, 2004","January 29, 2004",English,10865,ASCII,46,4,9974,103299,2004
The Dolorous Passion of Our Lord Jesus Christ,Anna Catherine Emmerich,"January 30, 2004","August 9, 2006",English,10866,US-ASCII,66,4,12159,127961,2004
"Atlantic Monthly, Vol. II., November, 1858., No. XIII.",Various,"January 30, 2004","July 12, 2005",English,10867,ASCII,3,4,9679,85998,2004
Clerambault,"Rolland, Romain","January 30, 2004","January 30, 2004",English,10868,ASCII,0,4,8829,85385,2004
The Abandoned Room,Wadsworth Camp,"January 30, 2004","January 30, 2004",English,10869,ASCII,11,4,10964,80329,2004
Are You A Bromide?,Gelett Burgess,"January 30, 2004","January 30, 2004",English,10870,ASCII,0,4,1323,9382,2004
"At Sunwich Port, Part 1.",W.W. Jacobs,"January 30, 2004","January 30, 2004",English,10871,ASCII,5,4,1838,14336,2004
"At Sunwich Port, Part 2.",W.W. Jacobs,"January 30, 2004","January 30, 2004",English,10872,ASCII,5,4,2380,17929,2004
"At Sunwich Port, Part 3.",W.W. Jacobs,"January 30, 2004","January 30, 2004",English,10873,ASCII,5,4,2006,15592,2004
"At Sunwich Port, Part 4.",W.W. Jacobs,"January 30, 2004","January 30, 2004",English,10874,ASCII,5,4,1986,14935,2004
"At Sunwich Port, Part 5.",W.W. Jacobs,"January 30, 2004","January 30, 2004",English,10875,ASCII,5,4,1987,15228,2004
"At Sunwich Port, Complete",W.W. Jacobs,"October 29, 2006","October 29, 2006",English,10876,ASCII,50,4,4691,64869,2006
The Tragedies of the Medici,Edgcumbe Staley,"January 30, 2004","January 30, 2004",English,10877,ASCII,12,4,8514,74268,2004
The Mule,Harvey Riley,"January 30, 2004","January 30, 2004",English,10878,ASCII,7,4,3038,32089,2004
A Compilation of Messages and Letters of the Presidents,Editor: James D. Richardson,"January 30, 2004","January 30, 2004",English,10879,ASCII,0,4,8679,68934,2004
Teddy's Button,Amy Le Feuvre,"January 31, 2004","January 31, 2004",English,10880,ASCII,10,4,3835,30276,2004
Crescent and Iron Cross,E. F. Benson,"January 31, 2004","January 31, 2004",English,10881,ASCII,7,4,4981,52213,2004
The Eagle's Shadow,James Branch Cabell,"January 31, 2004","January 31, 2004",English,10882,ASCII,1,4,6292,52029,2004
"Dio's Rome, Vol. 4",Cassius Dio,"January 31, 2004","January 31, 2004",English,10883,ASCII,0,4,11320,120660,2004
A Publisher and His Friends,Samuel Smiles,"January 31, 2004","January 31, 2004",English,10884,ASCII,56,4,18247,156357,2004
"Stories from the Italian Poets: With Lives of the Writers, Volume 1",Leigh Hunt,"January 31, 2004","January 31, 2004",English,10885,ASCII,0,4,10500,98953,2004
The Untamed,Max Brand,"January 31, 2004","January 31, 2004",English,10886,ASCII,39,4,10497,74582,2004
Babylonian and Assyrian Literature,Anonymous,"January 31, 2004","January 31, 2004",English,10887,ASCII,0,4,14901,100740,2004
"Arthur Hamilton, and His Dog",Anonymous,"January 31, 2004","January 31, 2004",English,10888,ASCII,11,4,1681,15162,2004
The Life and Romances of Mrs. Eliza Haywood,George Frisbie Whicher,"January 31, 2004","January 31, 2004",English,10889,ASCII,8,4,7914,69532,2004
"Dio's Rome, Volume V., Books 61-76 (A.D. 54-211)",Cassius Dio,"January 31, 2004","January 31, 2004",English,10890,ASCII,0,4,9739,99790,2004
Algonquin Indian Tales,Egerton R. Young,"January 31, 2004","January 31, 2004",English,10891,ASCII,50,4,7012,64255,2004
A Compilation of the Messages and Papers of the Presidents,Edited by James D. Richardson,"January 31, 2004","January 31, 2004",English,10893,ASCII,0,4,8254,68238,2004
A Compilation of the Messages and Papers of the Presidents,Edited by James D. Richardson,"January 31, 2004","January 31, 2004",English,10894,ASCII,0,4,5369,43565,2004
A Compilation of the Messages and Papers of the Presidents,Edited by James D. Richardson,"January 31, 2004","January 31, 2004",English,10895,ASCII,0,4,7169,58690,2004
"The Mirror of Literature, Amusement, and Instruction,",Various,"January 31, 2004","January 31, 2004",English,10896,ASCII,0,4,1814,15346,2004
The Wendigo,Algernon Blackwood,"January 31, 2004","January 31, 2004",English,10897,ASCII,0,4,2365,21691,2004
"American Scenes, and Christian Slavery",Ebenezer Davies,"February 1, 2004","February 1, 2004",English,10898,ASCII,0,4,8869,84467,2004
Olivia in India,O. Douglas,"February 1, 2004","February 1, 2004",English,10899,ASCII,0,4,5633,54887,2004
Three Young Knights,Annie Hamilton Donnell,"February 1, 2004","February 1, 2004",English,10901,ASCII,8,4,2187,16571,2004
Big and Little Sisters,Theodora R. Jenness,"February 1, 2004","February 1, 2004",English,10902,ASCII,6,4,2070,18116,2004
"Punch, or the London Charivari, Vol. 153, Oct. 17, 1917",Various,"February 1, 2004","February 1, 2004",English,10903,US-ASCII,1,4,2014,14436,2004
Frank Merriwell's Nobility,Burt L. Standish (AKA Gilbert Patten),"February 1, 2004","February 1, 2004",English,10904,ASCII,15,4,3382,21764,2004
"Phantom Fortune, A Novel",M. E. Braddon,"February 1, 2004","February 1, 2004",English,10905,ASCII,46,4,20040,182643,2004
The History of Rome; Books Nine to Twenty-Six,Titus Livius,"February 1, 2004","February 1, 2004",English,10907,US-ASCII,0,4,19767,221585,2004
